Function,Time (seconds),Status
VecTDot,214,PASS
VecAYPX_Seq,321,PASS
VecMin_Seq,86,PASS
VecNormalize,178,PASS
VecTDot_Seq,122,PASS
VecMTDot,381,PASS
VecGetSize_Seq,6,PASS
VecAXPBYPCZ,323,PASS
VecMTDot_Seq,215,PASS
VecPointwiseMin,260,PASS
VecMaxPointwiseDivide_orig,8,FAIL
VecDot_Seq,124,PASS
VecNorm,400,PASS
VecAXPBY,248,PASS
VecMDot,382,PASS
VecNormAvailable,391,PASS
VecNorm_MPI_orig,10,FAIL
VecMTDot_MPI,306,PASS
VecMAXPY,362,PASS
VecScale_Seq,283,PASS
VecPointwiseMax,261,PASS
VecGetValues,313,PASS
VecDot_MPI,181,PASS
VecAXPY,347,PASS
VecDot,222,PASS
VecAXPY_Seq,242,PASS
VecGetSize,75,PASS
VecAXPBYPCZ_Seq,386,PASS
VecPointwiseMult_Seq,266,PASS
VecConjugate_Seq,153,PASS
VecTDot_MPI,180,PASS
VecMin_MPI,260,PASS
VecPointwiseMult,268,PASS
VecPointwiseMin_Seq,266,PASS
VecMAXPY_Seq,292,PASS
VecCopy,212,PASS
VecGetSize_MPI,74,PASS
VecPointwiseDivide,200,PASS
VecAYPX,250,PASS
VecMaxPointwiseDivide_Seq,122,PASS
VecMax_Seq,86,PASS
VecMaxPointwiseDivide,184,PASS
VecMAXPBY,449,PASS
VecMin,318,PASS
VecCopy_Seq,205,PASS
VecMDot_Seq,217,PASS
VecAXPBY_Seq,344,PASS
VecNorm_MPI,335,PASS
VecWAXPY,587,PASS
VecPointwiseMaxAbs,223,PASS
VecWAXPY_Seq,543,PASS
VecPointwiseDivide_Seq,194,PASS
VecNorm_Seq,557,PASS
VecMaxPointwiseDivide_MPI,179,PASS
VecPointwiseMaxAbs_Seq,709,PASS
VecDotRealPart,221,PASS
VecMax_MPI,268,PASS
VecSwap,300,PASS
VecSwap_Seq,290,PASS
VecScale,187,PASS
VecPointwiseMax_Seq,267,PASS
VecMax,312,PASS
VecMDot_MPI,313,PASS
