Function,Time (seconds),Status
VecTDot,11,PASS
VecAYPX_Seq,18,PASS
VecMin_Seq,7,PASS
VecNormalize,12,PASS
VecTDot_Seq,9,PASS
VecMTDot,35,PASS
VecGetSize_Seq,6,PASS
VecAXPBYPCZ,17,PASS
VecMTDot_Seq,23,PASS
VecPointwiseMin,14,PASS
VecMaxPointwiseDivide_orig,8,FAIL
VecDot_Seq,10,PASS
VecNorm,17,PASS
VecAXPBY,14,PASS
VecMDot,35,PASS
VecNormAvailable,17,PASS
VecNorm_MPI_orig,9,FAIL
VecMTDot_MPI,29,PASS
VecMAXPY,37,PASS
VecScale_Seq,15,PASS
VecPointwiseMax,14,PASS
VecGetValues,11,PASS
VecDot_MPI,11,PASS
VecAXPY,17,PASS
VecDot,11,PASS
VecAXPY_Seq,14,PASS
VecGetSize,8,PASS
VecAXPBYPCZ_Seq,19,PASS
VecPointwiseMult_Seq,14,PASS
VecConjugate_Seq,10,PASS
VecTDot_MPI,11,PASS
VecMin_MPI,13,PASS
VecPointwiseMult,14,PASS
VecPointwiseMin_Seq,15,PASS
VecMAXPY_Seq,29,PASS
VecCopy,12,PASS
VecGetSize_MPI,8,PASS
VecPointwiseDivide,21,PASS
VecAYPX,13,PASS
VecMaxPointwiseDivide_Seq,13,PASS
VecMax_Seq,9,PASS
VecMaxPointwiseDivide,16,PASS
VecMAXPBY,44,PASS
VecMin,11,PASS
VecCopy_Seq,12,PASS
VecMDot_Seq,23,PASS
VecAXPBY_Seq,19,PASS
VecNorm_MPI,15,PASS
VecWAXPY,24,PASS
VecPointwiseMaxAbs,23,PASS
VecWAXPY_Seq,24,PASS
VecPointwiseDivide_Seq,21,PASS
VecNorm_Seq,23,PASS
VecMaxPointwiseDivide_MPI,15,PASS
VecPointwiseMaxAbs_Seq,46,PASS
VecDotRealPart,12,PASS
VecMax_MPI,11,PASS
VecSwap,15,PASS
VecSwap_Seq,15,PASS
VecScale,12,PASS
VecPointwiseMax_Seq,14,PASS
VecMax,12,PASS
VecMDot_MPI,29,PASS
